index,team,player_1,player_2,score_1,score_2
0,Chennai Super Kings,AT Rayudu,SR Watson,7,0
1,Chennai Super Kings,AT Rayudu,SK Raina,12,19
2,Chennai Super Kings,AT Rayudu,KM Jadhav,9,9
3,Chennai Super Kings,RA Jadeja,KM Jadhav,6,4
19,Sunrisers Hyderabad,DA Warner,JM Bairstow,74,39
20,Sunrisers Hyderabad,DA Warner,V Shankar,11,14
21,Sunrisers Hyderabad,YK Pathan,V Shankar,1,6
22,Sunrisers Hyderabad,MK Pandey,V Shankar,8,20
23,Mumbai Indians,RG Sharma,Q de Kock,14,18
24,Mumbai Indians,Q de Kock,SA Yadav,1,2
25,Mumbai Indians,Yuvraj Singh,Q de Kock,0,8
26,Mumbai Indians,Yuvraj Singh,KA Pollard,28,21
27,Mumbai Indians,Yuvraj Singh,HH Pandya,0,0
28,Mumbai Indians,Yuvraj Singh,KH Pandya,5,32
29,Mumbai Indians,Yuvraj Singh,BCJ Cutting,14,3
30,Mumbai Indians,Yuvraj Singh,MJ McClenaghan,6,9
31,Mumbai Indians,MJ McClenaghan,Rasikh Salam,1,5
32,Delhi Capitals,S Dhawan,PP Shaw,2,7
33,Delhi Capitals,S Dhawan,SS Iyer,2,16
34,Delhi Capitals,S Dhawan,CA Ingram,36,47
35,Delhi Capitals,S Dhawan,RR Pant,3,16
36,Delhi Capitals,KMA Paul,RR Pant,3,21
37,Delhi Capitals,AR Patel,RR Pant,4,4
38,Delhi Capitals,R Tewatia,RR Pant,9,37
54,Chennai Super Kings,AT Rayudu,SR Watson,5,16
55,Chennai Super Kings,SR Watson,SK Raina,28,19
56,Chennai Super Kings,SK Raina,KM Jadhav,11,14
57,Chennai Super Kings,MS Dhoni,KM Jadhav,32,13
58,Chennai Super Kings,MS Dhoni,DJ Bravo,0,4
59,Delhi Capitals,S Dhawan,PP Shaw,10,24
60,Delhi Capitals,S Dhawan,SS Iyer,24,18
61,Delhi Capitals,S Dhawan,RR Pant,13,25
62,Delhi Capitals,S Dhawan,CA Ingram,0,2
63,Delhi Capitals,S Dhawan,KMA Paul,1,0
64,Delhi Capitals,S Dhawan,AR Patel,3,1
65,Delhi Capitals,R Tewatia,AR Patel,11,8
82,Mumbai Indians,RG Sharma,Q de Kock,31,23
83,Mumbai Indians,RG Sharma,SA Yadav,17,12
84,Mumbai Indians,Yuvraj Singh,SA Yadav,23,13
85,Mumbai Indians,KA Pollard,SA Yadav,4,13
86,Mumbai Indians,KA Pollard,KH Pandya,1,1
87,Mumbai Indians,KH Pandya,HH Pandya,0,1
